id,apple,samsung,amazon,others,model,screenSize,storage,isNight,returnsAccepted,returnsDays,sellerFeedbackScore,bids,price,ram,resolution,sellerItemsSold,isPolice,sellerLifePercent,sellerYearPercent,isUsed,isBroken,deliverySpeed,startingPrice,isSold,endTime,bidCount
234895536926,1,0,0,0,ipad mini 4,7.9,128,1,0,-1,5603.0,"[143.0, 141.0, 126.0, 120.0, 120.0, 110.0, 100.0, 76.0, 70.0, 66.0, 47.0, 45.0]",143.0,,,9200,0,100.0,100.0,1,0,0.0,40.0,1,2023-02-22 19:00:01+00:00,12
364090787895,1,0,0,0,ipad mini 3,9.7,64,0,0,-1,3981.0,"[265.05, 260.05, 230.05, 184.05, 173.55, 159.05, 110.05, 28.05]",265.05,,,7300,0,100.0,100.0,0,0,0.0,28.05,1,2023-01-02 10:35:50+00:00,8
195597304087,1,0,0,0,ipad mini 6,8.3,64,1,0,-1,432.0,"[376.85, 366.85, 356.85, 336.85, 326.85, 316.85, 281.85, 266.85, 256.85]",376.85,,,557,0,100.0,100.0,1,0,2.0,235.85,1,2023-02-21 20:00:01+00:00,9
385353839971,1,0,0,0,ipad mini 4,7.9,128,1,0,-1,186.0,"[125.5, 124.5, 106.5, 55.5, 49.5, 49.5, 44.5]",125.5,,,256,0,100.0,100.0,1,0,0.0,44.5,1,2023-01-22 18:10:01+00:00,7
165903763878,1,0,0,0,ipad mini 1,7.9,32,1,0,-1,667.0,"[20.45, 19.95, 17.95]",20.45,,,517,0,100.0,100.0,1,0,0.0,15.94,1,2023-01-31 20:21:25+00:00,3
115703246896,1,0,0,0,ipad mini 1,7.9,16,0,0,-1,222.0,[15.99],15.99,,,347,0,100.0,97.0,1,1,0.0,15.99,1,2023-02-21 11:41:41+00:00,1
255927648771,1,0,0,0,ipad mini 5,7.9,64,1,0,-1,101.0,"[175.19, 170.19, 170.0, 130.0, 124.0]",175.19,,,76,0,100.0,100.0,1,0,2.0,122.0,1,2023-01-21 18:45:01+00:00,5
195506551596,1,0,0,0,ipad mini 6,8.3,256,0,0,-1,133.0,"[451.0, 441.0, 425.0, 350.0, 235.55]",451.0,,,45,0,100.0,100.0,1,0,2.0,100.0,1,2022-12-20 08:00:01+00:00,5
385404565870,1,0,0,0,ipad mini 6,8.3,64,1,1,14,13186.503393365118,"[278.99, 273.99, 268.99, 253.99, 238.99, 228.99, 227.99, 218.99]",278.99,,,35000,0,99.8,99.0,1,0,1.0,206.99,1,2023-02-14 20:30:01+00:00,8
185707062143,1,0,0,0,ipad mini 6,8.3,64,0,0,-1,207.0,"[486.92, 476.92, 446.92, 426.92, 416.92, 336.92, 281.92, 271.92, 231.92, 206.92]",486.92,,,206,0,100.0,100.0,1,0,2.0,206.92,1,2022-12-28 12:44:06+00:00,10
144899313880,1,0,0,0,ipad mini 4,7.9,128,1,0,-1,1356.0,"[142.0, 140.0, 130.77, 120.0, 117.0, 87.0, 71.0, 51.0, 50.0]",142.0,,,1100,0,100.0,100.0,1,0,0.0,5.99,1,2023-01-16 19:00:01+00:00,9
185727456853,1,0,0,0,ipad mini 2,7.9,32,0,0,-1,1659.0,"[47.32, 46.32, 45.32, 35.32, 34.32, 33.32, 31.32]",47.32,,,620,0,100.0,100.0,1,0,2.0,30.32,1,2023-01-13 15:04:45+00:00,7
255873917972,1,0,0,0,ipad mini 4,7.9,128,1,0,-1,2138.0,"[86.95, 84.95, 80.95, 76.94, 53.95, 13.95, 6.95, 5.95]",86.95,,,3800,0,99.6,99.0,1,0,2.0,4.94,1,2022-12-18 19:49:20+00:00,8
