id,brand,model,screenSize,storage,postage,endTime,returnsAccepted,returnsDays,sellerFeedbackScore,bids,price,ram,resolution,sellerItemsSold,isPolice,sellerLifePercent,sellerYearPercent,isUsed,isBroken,deliverySpeed,startingPrice,isSold
225299130448,amazon,kindle fire 7,7.0,16,6.92,"15 Dec, 2022 13:32:50 GMT",0,-1,421,[20.0],20.0,1.0,1024x600,57,0,85.7,89.0,1,0,2,20.0,1
175525216298,amazon,kindle fire hd kids 10,10.1,32,4.99,"15 Dec, 2022 22:04:47 GMT",0,-1,1084,"[77.0, 75.0, 60.0, 50.0, 35.0, 33.0, 30.0, 30.0, 28.0, 20.0, 18.0, 15.0]",77.0,-1.0,-1,1300,0,99.2,99.0,1,0,2,15.0,1
115635142715,amazon,kindle fire d01400,8.0,8,5.93,"15 Dec, 2022 18:14:01 GMT",0,-1,651,"[6.5, 6.0, 5.0, 4.07]",6.5,1.5,1280x800,177,0,100.0,96.0,1,0,2,3.99,1
125662171948,amazon,kindle fire 7,7.0,16,3.93,"16 Dec, 2022 13:29:15 GMT",0,-1,333,"[34.0, 33.0, 27.0, 26.0]",34.0,-1.0,-1,135,0,100.0,100.0,1,0,2,25.0,1
404041680804,amazon,kindle fire 7,7.0,16,4.45,"13 Dec, 2022 21:43:55 GMT",0,-1,1063,"[40.0, 39.0, 22.0, 18.0, 16.0, 15.0]",40.0,-1.0,-1,818,0,100.0,100.0,0,0,1,15.0,1
334566950163,amazon,kindle fire 7,7.0,8,4.00,"25 Sep, 2022 14:57:01 BST",0,-1,810,[18.0],18.0,-1.0,-1,147,0,100.0,100.0,1,0,0,18.0,1
204182932163,amazon,kindle fire hd8 kids,8.0,32,3.58,"16 Dec, 2022 18:45:03 GMT",0,-1,509,"[33.0, 32.0, 24.0, 22.0, 11.0]",33.0,-1.0,1280x800,314,0,100.0,100.0,1,0,0,10.0,1
314271532686,amazon,kindle fire kids 7,7.0,16,6.92,"15 Dec, 2022 18:32:12 GMT",0,-1,11,"[47.0, 46.0, 40.0, 25.33, 23.0]",47.0,1.0,1024x600,25,0,100.0,100.0,0,0,2,21.3,1
295309121518,amazon,kindle fire 7,7.0,-1,3.35,"07 Nov, 2022 20:23:48 GMT",0,-1,172,"[9.5, 9.0]",9.5,-1.0,-1,122,0,100.0,100.0,1,0,0,4.99,1
334618668394,amazon,kindle fire hd 7,7.0,16,6.92,"09 Nov, 2022 14:29:59 GMT",0,-1,105,"[7.0, 7.0, 5.0]",7.0,-1.0,-1,160,0,92.3,88.0,1,0,2,4.99,1
155303759384,amazon,kindle fire 7,7.0,16,6.92,"18 Dec, 2022 11:45:26 GMT",0,-1,133,"[36.0, 35.0, 19.0, 15.0]",36.0,-1.0,-1,4,0,100.0,100.0,1,0,2,15.0,1
266035251461,amazon,kindle fire 7,7.0,16,5.25,"17 Dec, 2022 20:00:16 GMT",0,-1,2756,"[9.0, 8.5]",9.0,-1.0,-1,3300,0,100.0,100.0,1,0,1,7.99,1
204171621884,amazon,kindle fire 7,7.0,16,8.00,"04 Dec, 2022 13:52:47 GMT",0,-1,9,"[55.23, 54.23, 42.0, 31.0, 30.0, 25.0, 24.0, 22.0]",55.23,-1.0,-1,7,0,100.0,100.0,0,0,2,15.0,1
134360089062,amazon,kindle fire 9,7.0,32,3.50,"17 Dec, 2022 19:27:41 GMT",0,-1,493,"[26.0, 25.0, 24.0]",26.0,-1.0,1024x600,802,0,100.0,99.0,0,0,2,23.9,1
115634694342,amazon,kindle fire 7,7.0,32,6.92,"17 Dec, 2022 10:24:28 GMT",0,-1,471,"[24.0, 23.0, 17.0, 16.0, 1.0]",24.0,-1.0,-1,487,0,100.0,100.0,1,0,2,0.99,1
314240937088,amazon,kindle fire 8 + 7,7.0,32,6.00,"01 Dec, 2022 17:41:29 GMT",0,-1,373,[12.0],12.0,-1.0,1280x800,580,0,99.3,98.0,1,0,1,12.0,1
225284819911,amazon,kindle fire kids 7,7.0,16,8.00,"13 Dec, 2022 19:54:38 GMT",0,-1,43,[20.0],20.0,-1.0,-1,48,0,100.0,100.0,1,0,2,20.0,1
125657718990,amazon,kindle fire 7,7.0,16,3.93,"17 Dec, 2022 22:26:09 GMT",0,-1,1153,"[17.5, 16.5, 10.0]",17.5,-1.0,-1,863,0,100.0,100.0,1,0,2,5.0,1
234806923087,amazon,kindle fire hd 8,8.0,32,6.92,"11 Dec, 2022 20:15:01 GMT",0,-1,71,"[47.0, 46.0, 36.0]",47.0,1.5,-1,59,0,100.0,100.0,1,0,2,24.0,1
304729845994,amazon,kindle fire 7,7.0,16,6.92,"16 Dec, 2022 20:32:04 GMT",0,-1,5,"[27.0, 26.0, 20.0, 19.0]",27.0,-1.0,-1,1,0,100.0,100.0,0,0,2,18.75,1
325446405453,amazon,kindle fire 7,7.0,16,2.75,"16 Dec, 2022 09:00:01 GMT",0,-1,287,"[31.0, 30.0, 30.0, 26.0]",31.0,-1.0,1024x600,185,0,100.0,100.0,0,0,0,25.0,1
134352716288,amazon,kindle fire kids 7,7.0,16,6.85,"11 Dec, 2022 19:43:43 GMT",0,-1,713,"[38.0, 38.0, 35.88, 32.0, 23.0, 18.0, 17.0, 15.0, 15.0, 14.0, 12.0]",38.0,-1.0,-1,333,0,100.0,100.0,1,0,2,10.0,1
234770466299,amazon,kindle fire kids 7,7.0,16,4.45,"12 Nov, 2022 21:00:01 GMT",0,-1,416,"[42.0, 41.0, 37.0, 35.0, 33.0, 32.0, 31.0]",42.0,1.0,1024x600,403,0,100.0,100.0,1,0,0,30.0,1
155305813801,amazon,kindle fire 7,7.0,8,6.92,"15 Dec, 2022 15:17:53 GMT",1,14,103,"[11.5, 11.0, 10.0, 9.5, 9.0, 7.0, 4.0, 4.0, 1.0]",11.5,8.0,-1,123,0,100.0,100.0,1,0,2,0.99,1
334635021265,amazon,kindle fire kids 7,7.0,16,3.35,"27 Nov, 2022 14:01:42 GMT",0,-1,182,"[31.0, 30.0, 28.0, 16.0, 15.0]",31.0,1.0,1024x600,147,0,100.0,100.0,1,0,0,15.0,1
175521683480,apple,ipad pro 5,12.9,128,8.95,"11 Dec, 2022 14:22:47 GMT",0,-1,11,[],850.0,-1.0,-1,19,0,100.0,100.0,0,0,2,850.0,0
